Id,Iso639 3,Iso639 1,Eng name,Epo name,Deu name,Fra name,Spa name,Zho name,Rus name,Own name,Language type,Num users,Abbrev
1836,eng,en,English,angla,Englisch,anglais,inglés,英语,английский,English,L,18547,
1848,epo,eo,Esperanto,esperanto,Esperanto,espéranto,esperanto,世界语,эсперанто,Esperanto,C,14769,
5911,spa,es,Spanish,hispana,Spanisch,espagnol,español,西班牙语,испанский,español,L,7706,
1947,fra,fr,French,franca,Französisch,français,francés,法语,французский,français,L,7274,
1573,deu,de,German,germana,Deutsch,allemand,alemán,德语,немецкий,Deutsch,L,5722,
5271,por,pt,Portuguese,portugala,Portugiesisch,portugais,portugués,葡萄牙語,португальский,português,L,3019,
2618,ita,it,Italian,itala,Italienisch,italien,italiano,意大利语,итальянский,italiano,L,2966,
5577,rus,ru,Russian,rusa,Russisch,russe,ruso,俄语,русский,русский,L,2848,
7508,zho,zh,Chinese,ĉina,Chinesisch,chinois,chino,汉语,китайский,汉语,L,2698,
2741,jpn,ja,Japanese,japana,Japanisch,japonais,japonés,日语,японский,日本語,L,2554,
4649,nld,nl,Dutch,nederlanda,Niederländisch,néerlandais,neerlandés,荷蘭語,нидерландский,Nederlands,L,1398,
5265,pol,pl,Polish,pola,Polnisch,polonais,polaco,波兰语,польский,polski,L,1072,
6046,swe,sv,Swedish,sveda,Schwedisch,suédois,sueco,瑞典语,шведский,svenska,L,817,
1497,cym,cy,Welsh,kimra,Walisisch,gallois,galés,威尔士语,валлийский,Cymraeg,L,740,
7628,tok,"",Toki Pona,tokipono,Toki Pona,toki pona,toki pona,道本语,токи пона,toki pona,C,669,""
1190,cat,ca,Catalan,kataluna,Katalanisch,catalan,catalán,加泰隆语,каталанский,català,L,576,
3453,lat,la,Latin,latino,Latein,latin,latín,拉丁语,латинский,latina,A,565,
3141,kor,ko,Korean,korea,Koreanisch,coréen,coreano,朝鲜语,корейский,한국어,L,537,
342,ara,ar,Arabic,araba,Arabisch,arabe,árabe,阿拉伯语,арабский,العربية,L,529,
6542,tur,tr,Turkish,turka,Türkisch,turc,turco,土耳其语,турецкий,Türkçe,L,388,
2339,heb,he,Hebrew,hebrea,Hebräisch,hébreu,hebreo,希伯来语,иврит,עִבְרִית,L,331,
4730,nor,no,Norwegian,norvega,Norwegisch,norvégien,noruego,挪威语,норвежский,norsk,L,264,
1906,fas,fa,Persian,persa,Persisch,persan,persa,波斯语,персидский,فارسی,L,254,
2460,hun,hu,Hungarian,hungara,Ungarisch,hongrois,húngaro,匈牙利语,венгерский,magyar,L,252,
1248,ces,cs,Czech,ĉeĥa,Tschechisch,tchèque,checo,捷克语,чешский,česky,L,249,
1515,dan,da,Danish,dana,Dänisch,danois,danés,丹麦语,датский,dansk,L,238,
1810,ell,el,Greek,greka,Griechisch,grec,griego,希腊语,(ново)греческий,Ελληνικά,L,227,
1920,fin,fi,Finnish,finna,Finnisch,finnois,fin(land)és,芬兰语,финский,suomi,L,213,
2576,ind,id,Indonesian,indonezia,Indonesisch,indonésien,indonesio,印尼语,индонезийский,bahasa Indonesia,L,190,
2360,hin,hi,Hindi,hindia,Hindi,hindi,hindi,印地语,хинди,हिन्दी,L,174,
6664,ukr,uk,Ukrainian,ukraina,Ukrainisch,ukrainien,ucrani(an)o,乌克兰语,украинский,українська,L,173,
2132,gle,ga,Irish,irlanda,Gälisch (Irisch),(gaélique) irlandais,irlandés,愛爾蘭語,ирландский,Gaeilge,L,170,
5549,ron,ro,Romanian,rumana,Rumänisch,roumain,rumano,羅馬尼亞語,румынский,română,L,160,
5821,slk,sk,Slovak,slovaka,Slowakisch,slovaque,eslovaco,斯洛伐克语,словацкий,slovenčina,L,160,
371,ase,"",American Sign Language,usona signolingvo,Amerikanische Gebärdensprache,langue des signes américaine,lengua de signos americana,美國手語,американский жестовый язык,American Sign Language,L,157,ASL
4888,oci,oc,Occitan,okcitana,Okzitanisch,occitan,occitano,奥克语,окситанский,occitan,L,120,
2435,hrv,hr,Croatian,kroata,Kroatisch,croate,croata,克罗地亚语,хорватский,hrvatski,L,109,
7348,yid,yi,Yiddish,jida,Jiddisch,yiddish,Yidis,意第緒語,Идиш,ייִדיש,L,109,
